trading_day,index_name,symbol,open_0931,close_0935,close_0950,close_1005,close_1035,close_1500
2023-06-12,CSI300,000300.SH,3827.3299999999999,3823.1199999999999,3827.3800000000001,3826.6300000000001,3827.25,3844.4299999999998
2023-06-13,CSI1000,000852.SH,6525.0500000000002,6527.6400000000003,6537.5500000000002,6525.7600000000002,6545.5100000000002,6554.96
2023-06-13,CSI300,000300.SH,3838.1300000000001,3847.3499999999999,3844.7800000000002,3845.9699999999998,3844.1599999999999,3864.9099999999999
2023-06-14,CSI1000,000852.SH,6556.0299999999997,6551.71,6559.6300000000001,6562.1000000000004,6566.21,6578.1199999999999
2023-06-14,CSI300,000300.SH,3872.7199999999998,3871.4000000000001,3885.3800000000001,3889.5599999999999,3882.5999999999999,3864.02
2023-06-15,CSI1000,000852.SH,6579.46,6569.2299999999996,6584.29,6584.2399999999998,6588.5500000000002,6613.9499999999998
2023-06-15,CSI300,000300.SH,3871.77,3877.4299999999998,3886.5999999999999,3884.5900000000001,3886.1799999999998,3925.5
2023-06-16,CSI1000,000852.SH,6613.1000000000004,6611.4499999999998,6635.0299999999997,6625.96,6635.46,6669.0100000000002
2023-06-16,CSI300,000300.SH,3932.21,3934.8499999999999,3943.2800000000002,3932.23,3937.0300000000002,3963.3499999999999
2023-06-19,CSI1000,000852.SH,6674.1199999999999,6687.6400000000003,6687.7799999999997,6678.0299999999997,6686.2200000000003,6693.3000000000002
2023-06-19,CSI300,000300.SH,3957.0300000000002,3944.6599999999999,3942.3600000000001,3934.6599999999999,3928.6500000000001,3930.9099999999999
2023-06-20,CSI1000,000852.SH,6683.9200000000001,6692.6999999999998,6677.1099999999997,6692.0900000000001,6680.6099999999997,6693.9099999999999
2023-06-20,CSI300,000300.SH,3926.0900000000001,3933.1300000000001,3926.6399999999999,3930.6900000000001,3921.77,3924.2399999999998
2023-06-21,CSI1000,000852.SH,6679.1499999999996,6673.9799999999996,6643.0900000000001,6604.0299999999997,6629.6400000000003,6548.4099999999999
2023-06-21,CSI300,000300.SH,3909.0999999999999,3916.79,3911.3400000000001,3900.8499999999999,3909.25,3864.0300000000002
2023-06-26,CSI1000,000852.SH,6504.9700000000003,6506.5799999999999,6512.0100000000002,6476.9700000000003,6441.1800000000003,6420.9700000000003
2023-06-26,CSI300,000300.SH,3833.4400000000001,3831.0700000000002,3829.6199999999999,3818.4899999999998,3805.02,3809.6999999999998
2023-06-27,CSI1000,000852.SH,6425.8400000000001,6443.6499999999996,6466.3900000000003,6470.4700000000003,6465.1000000000004,6507.2700000000004
2023-06-27,CSI300,000300.SH,3811.6900000000001,3813.4499999999998,3821.3099999999999,3822.8699999999999,3813.8699999999999,3845.4299999999998
2023-06-28,CSI1000,000852.SH,6504.5,6468.1199999999999,6432.6899999999996,6404.5200000000004,6414.96,6475.5100000000002
2023-06-28,CSI300,000300.SH,3836.6100000000001,3834.0700000000002,3837.6500000000001,3829.0900000000001,3825.23,3840.8000000000002
2023-06-29,CSI1000,000852.SH,6465.1000000000004,6484.9399999999996,6508.3900000000003,6498.5699999999997,6501.3000000000002,6520.04
2023-06-29,CSI300,000300.SH,3836.73,3833.6799999999998,3835.52,3830.4299999999998,3829.0700000000002,3821.8400000000001
2023-06-30,CSI1000,000852.SH,6507.5,6527.5500000000002,6551.9899999999998,6553.2200000000003,6565.7799999999997,6602.04
2023-06-30,CSI300,000300.SH,3816.3299999999999,3818.8800000000001,3825.7399999999998,3837.4299999999998,3837.4000000000001,3842.4499999999998
